이름,유형,리뷰 수,주소,영업 시간,포장 및 반려동물 동반 가능 여부,메뉴
에크하우스,"카페,디저트",792,서울 서초구 강남대로8길 15-1 1층,"[{'day': '월', 'hours': '08:00 - 23:00\n22:30 라스트오더'}, {'day': '화', 'hours': '08:00 - 23:00\n22:30 라스트오더'}, {'day': '수', 'hours': '08:00 - 23:00\n22:30 라스트오더'}, {'day': '목', 'hours': '08:00 - 23:00\n22:30 라스트오더'}, {'day': '금', 'hours': '08:00 - 23:00\n22:30 라스트오더'}, {'day': '토', 'hours': '09:00 - 22:00\n21:30 라스트오더'}, {'day': '일', 'hours': '09:00 - 20:00\n19:30 라스트오더'}]","{'포장 가능': True, '반려동물 동반 가능': True}","['콜드브루', '카푸치노', '플랫화이트', '하우스 돌체']"
오뗄두스 서래점,베이커리,798,서울 서초구 서래로10길 9 서래빌딩,"[{'day': '월', 'hours': '10:30 - 20:00'}, {'day': '화', 'hours': '10:00 - 21:00'}, {'day': '수', 'hours': '10:00 - 21:00'}, {'day': '목', 'hours': '10:00 - 21:00'}, {'day': '금', 'hours': '10:00 - 21:00'}, {'day': '토', 'hours': '10:00 - 21:00'}, {'day': '일', 'hours': '10:00 - 20:00'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['밀푀유', '골드키위잼', '우유푸딩', '하루치즈케이크']"
소울브레드,베이커리,999,서울 서초구 바우뫼로7길 27 동양고속아파트 동양상가 201호,"[{'day': '월', 'hours': '정기휴무 (매주 월요일)'}, {'day': '화', 'hours': '정기휴무 (매주 화요일)'}, {'day': '수', 'hours': '12:00 - 20:00'}, {'day': '목', 'hours': '12:00 - 20:00'}, {'day': '금', 'hours': '12:00 - 20:00'}, {'day': '토', 'hours': '12:00 - 18:00'}, {'day': '일', 'hours': '정기휴무 (매주 일요일)'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['우리통밀100% 사워도우', '쇼콜라 사워도우', '올리브 치아바타', '우리호밀 100% 사워도우']"
스타벅스 서울웨이브아트센터점,카페,999,서울 서초구 잠원로 145-35 (잠원동),"[{'day': '월(11/11)', 'hours': '08:30 - 22:00'}, {'day': '화(11/12)', 'hours': '08:30 - 22:00'}, {'day': '수(11/13)', 'hours': '08:30 - 22:00'}, {'day': '목(11/14)', 'hours': '08:30 - 22:00'}, {'day': '금(11/15)', 'hours': '08:30 - 22:00'}, {'day': '토(11/16)', 'hours': '07:30 - 22:00'}, {'day': '일(11/17)', 'hours': '07:30 - 21:30'}]","{'포장 가능': False, '반려동물 동반 가능': False}","['토피 넛 라떼', '스타벅스 딸기 라떼', '골든 캐모마일 릴렉서', '산타 베어리스타 케이크']"
거북이,"카페,디저트",999,서울 서초구 방배천로4안길 48 1층,"[{'day': '매일', 'hours': '12:00 - 22:00'}]","{'포장 가능': True, '반려동물 동반 가능': True}","['피스타치오라즈베리', '망고빙수(시즌)', '팥빙수(시즌)', '딸기쇼트(시즌)']"
던킨 양재사옥점,도넛,908,"서울 서초구 남부순환로 2620 (양재동 11-149,강남피타워) 지하1층","[{'day': '월', 'hours': '07:00 - 20:00'}, {'day': '화', 'hours': '07:00 - 20:00'}, {'day': '수', 'hours': '07:00 - 20:00'}, {'day': '목', 'hours': '07:00 - 20:00'}, {'day': '금', 'hours': '07:00 - 20:00'}, {'day': '토', 'hours': '정기휴무 (매주 토요일)'}, {'day': '일', 'hours': '정기휴무 (매주 일요일)'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['던캔 아이스아메리카노 4개 SET', '해피 먼치킨컵 (10개)', '허니딸기라떼', '해피 먼치킨컵 (10개)']"
컨트리보이,베이커리,438,서울 서초구 방배로27길 53 1층,"[{'day': '월', 'hours': '정기휴무 (매주 월요일)'}, {'day': '화', 'hours': '정기휴무 (매주 화요일)'}, {'day': '수', 'hours': '11:00 - 19:00'}, {'day': '목', 'hours': '11:00 - 19:00'}, {'day': '금', 'hours': '11:00 - 19:00'}, {'day': '토', 'hours': '11:00 - 19:00'}, {'day': '일', 'hours': '11:00 - 19:00'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['저온숙성식빵', '크랜베리호두푸가스', '카카오피칸바게트', '무화과사워도우(Whole)']"
밀갸또 교대점,케이크전문,832,서울 서초구 서초대로58길 37,"[{'day': '월', 'hours': '정기휴무 (매주 월요일)'}, {'day': '화', 'hours': '11:00 - 19:00'}, {'day': '수', 'hours': '11:00 - 19:00'}, {'day': '목', 'hours': '11:00 - 19:00'}, {'day': '금', 'hours': '11:00 - 19:00'}, {'day': '토', 'hours': '11:00 - 19:00'}, {'day': '일', 'hours': '11:00 - 19:00'}]","{'포장 가능': True, '반려동물 동반 가능': False}",['밀푀유']
앙띠크,"카페,디저트",999,서울 서초구 서초중앙로20길 14 1층 앙띠크,"[{'day': '월', 'hours': '10:30 - 21:00'}, {'day': '화', 'hours': '10:30 - 21:00'}, {'day': '수', 'hours': '10:30 - 21:00'}, {'day': '목', 'hours': '10:30 - 21:00'}, {'day': '금', 'hours': '10:30 - 21:00'}, {'day': '토', 'hours': '10:30 - 21:00'}, {'day': '일', 'hours': '11:00 - 21:00'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['바니벨루떼', '벨벳 브라운', '아메리카노', '카페라떼']"
좋은아침페스츄리 양재점,베이커리,999,서울 서초구 바우뫼로37길 18 제이프러스빌딩,"[{'day': '월', 'hours': '08:00 - 21:00\n20:30 라스트오더'}, {'day': '화', 'hours': '08:00 - 21:00\n20:30 라스트오더'}, {'day': '수', 'hours': '08:00 - 21:00\n20:30 라스트오더'}, {'day': '목', 'hours': '08:00 - 21:00\n20:30 라스트오더'}, {'day': '금', 'hours': '08:00 - 21:00\n20:30 라스트오더'}, {'day': '토', 'hours': '08:00 - 21:00\n20:30 라스트오더'}, {'day': '일', 'hours': '정기휴무 (매주 일요일)'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['오리지널 크로와상', '앙버터 크로와상', '햄치즈 크로와상']"
카페 이로,"카페,디저트",598,"서울 서초구 반포대로30길 32 1층, 지하1층","[{'day': '월', 'hours': '11:00 - 20:30'}, {'day': '화', 'hours': '11:00 - 20:30'}, {'day': '수', 'hours': '11:00 - 20:30'}, {'day': '목', 'hours': '11:00 - 20:30'}, {'day': '금', 'hours': '11:00 - 20:30'}, {'day': '토', 'hours': '11:00 - 21:30'}, {'day': '일', 'hours': '11:00 - 21:30'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['해치의 신수림 [하]', '해치의 신수림 [추]', '해치의 신수림 [동]', '해치크림라떼']"
카페드리옹 서래본점,카페,999,서울 서초구 서래로7길 18 1층 카페드리옹,"[{'day': '매일', 'hours': '09:00 - 23:00\n22:50 라스트오더'}]","{'포장 가능': True, '반려동물 동반 가능': True}","['바닐라 밀푀유(피스(Piece))', 'LYON 잉글리쉬 브랙퍼스트 밀크티(300ml)', '샹티 오 베리(홀(Whole))', '샹티 오 베리([전화예약가능])']"
행복빵집,베이커리,999,서울 서초구 방배로 248 서래빌딩 1층,"[{'day': '월', 'hours': '08:00 - 22:00'}, {'day': '화', 'hours': '08:00 - 22:00'}, {'day': '수', 'hours': '08:00 - 22:00'}, {'day': '목', 'hours': '08:00 - 22:00'}, {'day': '금', 'hours': '08:00 - 22:00'}, {'day': '토', 'hours': '08:00 - 22:00'}, {'day': '일', 'hours': '08:00 - 22:00'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['행복찹쌀떡(낱개)', '200빵', '행복통팥빵', '소금빵']"
카페모호,"카페,디저트",706,서울 서초구 양재천로7길 1 1층,"[{'day': '월', 'hours': '08:00 - 17:00'}, {'day': '화', 'hours': '08:00 - 17:00'}, {'day': '수', 'hours': '08:00 - 17:00'}, {'day': '목', 'hours': '08:00 - 17:00'}, {'day': '금', 'hours': '08:00 - 17:00'}, {'day': '토', 'hours': '08:00 - 19:00'}, {'day': '일', 'hours': '08:00 - 19:00'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['아메리카노', '일랑일랑', '모호 라떼', '모호크림']"
비파티세리 센트럴시티점,베이커리,999,서울 서초구 신반포로 176 신세계 센트럴시티 1층 116호,"[{'day': '매일', 'hours': '08:00 - 21:30\n21:00 라스트오더'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['퀸아망 베리 크림치즈', '퀸아망 클래식', '조청 피칸파이', '퀸아망 흑임자']"
밀도 강남역점,베이커리,404,서울 서초구 강남대로 419 무인양품 1층 내 밀도,"[{'day': '월', 'hours': '11:00 - 22:00'}, {'day': '화', 'hours': '11:00 - 22:00'}, {'day': '수', 'hours': '11:00 - 22:00'}, {'day': '목', 'hours': '11:00 - 22:00'}, {'day': '금', 'hours': '11:00 - 22:00'}, {'day': '토', 'hours': '11:00 - 22:00'}, {'day': '일', 'hours': '11:00 - 22:00'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['담백식빵', '리치식빵', '허니러스크', '초코허니러스크']"
프리퍼,"카페,디저트",999,서울 서초구 반포대로5길 4 성원빌딩 1층,"[{'day': '월', 'hours': '08:00 - 21:00\n20:30 라스트오더'}, {'day': '화', 'hours': '08:00 - 21:00\n20:30 라스트오더'}, {'day': '수', 'hours': '08:00 - 21:00\n20:30 라스트오더'}, {'day': '목', 'hours': '08:00 - 21:00\n20:30 라스트오더'}, {'day': '금', 'hours': '08:00 - 21:00\n20:30 라스트오더'}, {'day': '토', 'hours': '09:00 - 21:00\n20:30 라스트오더'}, {'day': '일', 'hours': '09:00 - 21:00\n20:30 라스트오더'}]","{'포장 가능': False, '반려동물 동반 가능': False}","['크림 드 코코', '인절미 티라미수', '동키모카', '로얄 블랙 밀크티']"
담장옆에국화꽃 파미에점,"카페,디저트",999,서울 서초구 사평대로 205 센트럴시티 파미에스테이션 2층,"[{'day': '월', 'hours': '10:00 - 21:30\n21:00 라스트오더'}, {'day': '화', 'hours': '10:00 - 21:30\n21:00 라스트오더'}, {'day': '수', 'hours': '10:00 - 21:30\n21:00 라스트오더'}, {'day': '목', 'hours': '10:00 - 21:30\n21:00 라스트오더'}, {'day': '금', 'hours': '10:00 - 21:30\n21:00 라스트오더'}, {'day': '토', 'hours': '10:00 - 21:30\n21:00 라스트오더'}, {'day': '일', 'hours': '10:00 - 21:30\n21:00 라스트오더'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['단팥죽 고속터미널', '밤크림 모나카', '공주 보늬밤 빙수', '녹차팥빙수 고속터미널']"
오쎄,"카페,디저트",999,"서울 서초구 방배천로4안길 32 1&2층 카페, 테라스 카페","[{'day': '월', 'hours': '11:00 - 23:00\n22:00 라스트오더'}, {'day': '화', 'hours': '11:00 - 23:00\n22:00 라스트오더'}, {'day': '수', 'hours': '11:00 - 23:00\n22:00 라스트오더'}, {'day': '목', 'hours': '11:00 - 23:00\n22:00 라스트오더'}, {'day': '금', 'hours': '11:00 - 23:00\n22:00 라스트오더'}, {'day': '토', 'hours': '11:00 - 23:00\n22:00 라스트오더'}, {'day': '일', 'hours': '11:00 - 23:00\n22:00 라스트오더'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['블루레모네이드', '청포도라떼', '리치베라블랜딩티', '바닐라빈 라떼']"
