uuid,name,slope,parking_area,number_of_households,area,is_remodeled,construction_year,green_space_area,internet_speed,rating,common_area_cleaning_frequancy,garbage_recycling_frequency,concierge_service,average_price_per_pyeong,newlyweds_benefits,pop,pop_ratio,pop_increase,taxi,income,income_increase,geometry
apartment_1165010117,방배래미안타워,3.945765305,640,344,2873.94,거짓,2005,19.74185859,,24,매주,매주,1,36481337.69,,507,"[1.601560323, 7.304851243, 14.40939909, 18.8368162, 23.02609826, 20.03789356, 12.16909693, 2.614284387]",9,3,6302.26,17.97,"MultiPolygon (((126.99277038 37.47417988, 126.9927252 37.47416379, 126.99189572 37.47438349, 126.99108931 37.47459412, 126.98966569 37.47499097, 126.98964198 37.47502243, 126.9898411 37.47547007, 126.98988223 37.47548938, 126.9912836 37.47510064, 126.992"
apartment_1165010853,서초교대e편한세상,3.650167465,761,435,3836.91,거짓,2010,17.80344413,,26,매주,매주,1,57302462.34,,696,"[0.593437464, 5.917638263, 11.76400355, 17.9133963, 24.3700397, 20.29632248, 12.77225286, 6.372909387]",1,1,8795.36,26.42,"MultiPolygon (((127.01840965 37.49707967, 127.01692517 37.49630477, 127.01756688 37.4956015, 127.01717307 37.4953804, 127.01605271 37.49662451, 127.01824934 37.49777488, 127.01828738 37.49771317, 127.01803278 37.49757332, 127.01840965 37.49707967)))"
apartment_1165010627,한신타운,1.297524691,0,110,25737,거짓,1989,19.79478166,,27,매주,매주,1,54705659.96,,258,"[1.745391579, 9.628167888, 17.2561201, 19.67153787, 22.26095753, 16.65636241, 10.02771212, 2.7537505]",9,4,8466.46,25.13,"MultiPolygon (((127.01186546 37.50948569, 127.01143276 37.50905732, 127.0113504 37.50906853, 127.01101891 37.50967734, 127.01125496 37.5099077, 127.01157841 37.5096983, 127.01186512 37.50951507, 127.01186916 37.50948931, 127.01186546 37.50948569)))"
apartment_1165010617,신반포16차,0.735792339,0,396,1915.23,거짓,1983,19.58865269,,28,매주,매주,1,61203074.52,,339,"[2.379283583, 6.832493895, 14.35643504, 20.74170858, 23.82857635, 18.07462103, 10.4838373, 3.303044218]",27,12,4757.83,1.64,"MultiPolygon (((127.01091526 37.51823686, 127.01091673 37.51823676, 127.01091799 37.51823692, 127.0109196 37.51823752, 127.01092064 37.51823823, 127.01096361 37.51827595, 127.0112004 37.51812244, 127.01121574 37.5181118, 127.01116777 37.51806759, 127.011"
apartment_1165011104,서초포레스타6단지,1.400778055,614,585,9307.27,거짓,2015,19.03781564,,28,매주,매주,1,42210298.91,,392,"[0.382618082, 3.359837758, 13.49074261, 19.13894201, 21.48480548, 18.65488649, 14.7554554, 8.732712173]",3,1,3386.58,13.75,"MultiPolygon (((127.05481895 37.44957773, 127.05419037 37.45020387, 127.05468879 37.45053663, 127.05482146 37.4506608, 127.05490848 37.45072712, 127.05509664 37.45087746, 127.05526309 37.45099651, 127.05557706 37.450654, 127.05612196 37.45101699, 127.056"
apartment_1165010135,방배아크로타워,2.271681547,190,116,1317.86,거짓,2007,20.86705322,,28,매주,매주,1,29372745.94,,390,"[1.210038144, 11.70494869, 17.80345461, 18.0767534, 21.23698976, 15.8895276, 10.51222233, 3.566065465]",8,2,3580.65,1.47,"MultiPolygon (((126.99562336 37.48302994, 126.99519611 37.48285903, 126.99495504 37.48324247, 126.99538039 37.48341489, 126.99562336 37.48302994)))"
apartment_1165010828,래미안서초유니빌,1.732501388,361,440,2459,거짓,2003,18.78964806,,28,매주,매주,1,21061080.59,,779,"[0.138540899, 3.615184373, 14.49181254, 17.871575, 21.03988937, 19.2891022, 15.12321871, 8.430676913]",25,13,5667.7,12.17,"MultiPolygon (((127.01711499 37.48497512, 127.01712822 37.48493456, 127.01714928 37.48489884, 127.01712391 37.48488891, 127.01713446 37.48487253, 127.01711381 37.48486394, 127.01720036 37.48472738, 127.01719201 37.48472357, 127.01723881 37.48465014, 127."
apartment_1165010132,방배자이,6.144856453,377,136,27368.68,거짓,2003,19.58236694,,30,매주,매주,1,29064328.71,,365,"[0.131327526, 3.230098291, 7.967991334, 12.04021932, 17.39907018, 17.41991923, 24.80628653, 17.0050876]",2,1,6938.84,17.15,"MultiPolygon (((126.99935887 37.48584726, 126.99932522 37.48582479, 126.99857157 37.48590169, 126.9985485 37.48593723, 126.99874516 37.48701945, 126.99877731 37.48704256, 126.99952288 37.48695588, 126.99954768 37.48692435, 126.99935887 37.48584726)))"
apartment_1165010901,서초더샵포레,6.30396843,1757,1264,19284,거짓,2014,16.06596883,,32,매주,매주,1,17147306.47,,690,"[0.727441463, 4.556765757, 7.646623594, 19.16487117, 26.20458619, 18.16509894, 16.89639123, 6.638221659]",3,2,5161.87,2.63,"MultiPolygon (((127.06413544 37.45443779, 127.06425173 37.45440679, 127.06443437 37.45435621, 127.06462989 37.45434432, 127.06477598 37.45434126, 127.06479733 37.45363519, 127.06439047 37.45344769, 127.06422434 37.45316194, 127.06418654 37.45275241, 127."
apartment_1165010306,서초네이처힐2단지,1.891326308,153,133,5807.4,거짓,2012,18.53605783,,32,매주,매주,1,37599965.28,,381,"[0.347868307, 5.298150783, 8.758451137, 17.58748628, 27.08503479, 21.14306803, 14.68442072, 5.09551995]",5,2,4999.04,13.78,"MultiPolygon (((127.02150217 37.46349719, 127.02248765 37.46276654, 127.02190826 37.46238329, 127.02175154 37.46217422, 127.02166732 37.4622228, 127.02153257 37.46227153, 127.02139781 37.46225691, 127.02125089 37.46232057, 127.02118962 37.46237915, 127.0"
